"wso_id";"name_short";"sea_cd";"area_km2";"zone"
1039331;"";2;7.80000000000;""
1039330;"";2;28.1000000000;""
1135759;"SE_Inla";5;29.5000000000;"NS"
1046869;"";2;21.2000000000;""
1058013;"";2;8.20000000000;""
1058018;"";2;1.50000000000;""
1127033;"";5;3.20000000000;"NS"
1057444;"";2;2.50000000000;""
1058604;"";2;4.60000000000;""
1057441;"";2;1.20000000000;""
1046401;"";2;17.4000000000;""
1094907;"";2;1.30000000000;""
1046409;"";2;21.5000000000;""
1065940;"";2;1.40000000000;""
1105504;"";5;0.00000000000;"NS"
1039812;"";2;15.9000000000;""
1037599;"";2;46.7000000000;""
1124266;"";5;0.00000000000;"NS"
1039430;"";2;26.4000000000;""
1058971;"";2;7.30000000000;""
1072630;"";2;9.70000000000;""
1050978;"";5;23.0000000000;"NS"
1064398;"";2;4.90000000000;""
1091162;"";2;5.60000000000;""
1050511;"";5;10.9000000000;"NS"
1058510;"";2;6.20000000000;""
1058519;"";2;10.1000000000;""
1127532;"";5;2.10000000000;"NS"
1057359;"";2;6.60000000000;""
1058518;"";2;9.10000000000;""
1091713;"";2;20.7000000000;""
1062751;"";2;3.90000000000;""
1053802;"";5;35.4000000000;"NS"
1062758;"";2;5.50000000000;""
1039301;"";2;20.3000000000;""
1121456;"";5;1.50000000000;"NS"
1105603;"";5;3.80000000000;"NS"
1072960;"";2;2.80000000000;""
1039306;"";2;16.8000000000;""
1039303;"";2;7.90000000000;""
1039302;"";2;24.1000000000;""
1039300;"";2;29.4000000000;""
1086384;"";2;13.2000000000;""
1104894;"";5;0.00000000000;"NS"
1057456;"";2;1.40000000000;""
1058617;"";2;3.40000000000;""
1057457;"";2;1.30000000000;""
1057452;"";2;1.10000000000;""
1057453;"";2;0.00000000000;""
1046410;"";2;117.000000000;""
1131209;"";5;13.7000000000;"NS"
1057458;"";2;2.70000000000;""
1046418;"";2;23.8000000000;""
1057459;"";2;1.20000000000;""
1094913;"";2;6.70000000000;""
1065577;"";2;2.70000000000;""
1039863;"";2;15.2000000000;""
1126880;"";5;7.20000000000;"NS"
